school_id,name,type,level,state,county,city,rating,tuition_min,tuition_max,student_count,teacher_student_ratio,ap_courses,clubs,application_deadline,website,application_fee,description
S012,Texas A&M Commerce,Public,University,Texas,Hunt,Commerce,8.2,9000,22000,13000,1:21,0,150,July 1,tamuc.edu,50,"Regional university with strong education, agriculture, and business degree programs."
S013,Frisco Montessori,Private,Elementary,Texas,Collin,Frisco,9.3,9000,14000,200,1:10,0,15,February 15,friscomontessori.edu,100,"Private Montessori elementary with individualized learning plans and gifted programs."
S014,McKinney Boyd High,Public,High School,Texas,Collin,McKinney,8.9,0,0,2800,1:21,25,48,Rolling,mckinneyhigh.edu,0,"Award-winning public high school known for its IB program and community service culture."
S015,UT Arlington,Public,University,Texas,Tarrant,Arlington,8.6,11500,30000,43000,1:23,0,250,June 1,uta.edu,60,"Major research university with top engineering, nursing, and architecture programs."
S016,Harvard University,Private,University,Massachusetts,Middlesex,Cambridge,9.9,54000,60000,21000,1:7,0,450,January 1,harvard.edu,75,"World-renowned Ivy League university with exceptional programs across all disciplines."
S017,MIT,Private,University,Massachusetts,Middlesex,Cambridge,9.9,57000,61000,11500,1:3,0,500,January 1,mit.edu,75,"Leading science and technology university with groundbreaking research and innovation."
S018,Boston University,Private,University,Massachusetts,Suffolk,Boston,8.9,58000,62000,34000,1:10,0,350,January 1,bu.edu,80,"Large private research university with strong programs in law, medicine, and engineering."
S019,UMass Amherst,Public,University,Massachusetts,Hampshire,Amherst,8.6,15000,34000,32000,1:17,0,280,January 15,umass.edu,80,"Flagship public university with strong research programs and vibrant campus life."
S020,Boston Latin School,Public,High School,Massachusetts,Suffolk,Boston,9.7,0,0,2400,1:17,26,60,December 1,bls.edu,0,"Oldest public school in America with rigorous academics and exceptional college placement."
S021,Brookline High School,Public,High School,Massachusetts,Norfolk,Brookline,9.2,0,0,1900,1:14,26,80,Rolling,brooklinehigh.edu,0,"Top-rated suburban high school known for academic excellence and diverse programs."
S022,Bright Beginnings Montessori,Private,Preschool,Massachusetts,Middlesex,Newton,9.4,10000,15000,90,1:6,0,5,Rolling,brightbeginnings.edu,75,"Premium Montessori preschool with focus on creativity and early childhood development."
S023,UCLA,Public,University,California,Los Angeles,Los Angeles,9.7,13000,43000,45000,1:18,0,1000,November 30,ucla.edu,70,"Premier public research university ranked among the best globally with diverse programs."
S024,USC,Private,University,California,Los Angeles,Los Angeles,9.5,62000,66000,48000,1:9,0,800,January 15,usc.edu,85,"Elite private university with top programs in film, business, engineering, and law."
S025,Stanford University,Private,University,California,Santa Clara,Stanford,9.9,56000,60000,17000,1:5,0,600,January 2,stanford.edu,90,"World-class university with unmatched innovation ecosystem and research excellence."
S026,UC Berkeley,Public,University,California,Alameda,Berkeley,9.8,14000,44000,43000,1:20,0,1000,November 30,berkeley.edu,70,"Top-ranked public university known for research, activism, and academic excellence."
S027,San Francisco University High,Private,High School,California,San Francisco,San Francisco,9.5,58000,62000,430,1:7,32,55,January 15,sfuhs.edu,100,"Elite private high school with exceptional college placement and diverse curriculum."
S028,Palo Alto High School,Public,High School,California,Santa Clara,Palo Alto,9.4,0,0,1900,1:18,30,60,Rolling,paloaltohigh.edu,0,"Nationally recognized public high school with exceptional STEM and arts programs."
S029,Sunshine Valley Preschool,Private,Preschool,California,Los Angeles,Santa Monica,9.3,12000,18000,100,1:6,0,8,Rolling,sunshinevalley.edu,50,"Creative play-based preschool focusing on social skills and early academic readiness."
S030,Columbia University,Private,University,New York,New York,New York,9.8,61000,65000,31000,1:6,0,500,January 1,columbia.edu,85,"Ivy League university in NYC with world-class programs in law, journalism, and sciences."
S031,NYU,Private,University,New York,New York,New York,9.3,57000,61000,51000,1:9,0,400,January 1,nyu.edu,80,"Global university in the heart of NYC with strong arts, business, and law programs."
S032,Cornell University,Private,University,New York,Tompkins,Ithaca,9.7,61000,65000,24000,1:9,0,1000,January 2,cornell.edu,80,"Ivy League university known for engineering, agriculture, hotel administration, and research."
S033,Stuyvesant High School,Public,High School,New York,New York,New York,9.8,0,0,3300,1:21,30,100,October 31,stuyvesant.edu,0,"Elite NYC specialized high school known for producing Nobel laureates and top scientists."
S034,Bronx Science,Public,High School,New York,Bronx,Bronx,9.7,0,0,2900,1:20,28,90,October 31,bronxscience.edu,0,"Specialized STEM high school producing exceptional scientists, engineers, and innovators."
S035,Little Apple Montessori,Private,Preschool,New York,Westchester,White Plains,9.2,11000,16000,85,1:7,0,5,Rolling,littleapplemontessori.edu,50,"Nurturing Montessori environment helping children explore and grow at their own pace."
S036,University of Florida,Public,University,Florida,Alachua,Gainesville,9.0,6400,28000,52000,1:21,0,1000,November 1,ufl.edu,30,"Florida flagship university with top programs in engineering, agriculture, and business."
S037,University of Miami,Private,University,Florida,Miami-Dade,Miami,9.1,54000,58000,17000,1:13,0,300,February 1,miami.edu,75,"Prestigious private university with strong marine science, music, and medicine programs."
S038,Miami Beach Senior High,Public,High School,Florida,Miami-Dade,Miami Beach,8.7,0,0,2100,1:22,22,45,Rolling,miamibeachhigh.edu,0,"Diverse public high school with strong performing arts and International Baccalaureate program."
S039,Suncoast Community High,Public,High School,Florida,Palm Beach,Riviera Beach,9.1,0,0,1600,1:19,28,50,Rolling,suncoasthigh.edu,0,"Top-ranked STEM magnet school with outstanding math, science, and engineering programs."
S040,Palm Beach Montessori,Private,Preschool,Florida,Palm Beach,Boca Raton,9.2,9000,13000,95,1:7,0,6,Rolling,pbmontessori.edu,50,"Warm and nurturing Montessori preschool with individualized learning in South Florida."
S041,Florida State University,Public,University,Florida,Leon,Tallahassee,8.8,5600,19000,45000,1:22,0,600,March 1,fsu.edu,30,"Major research university with top programs in criminology, business, and performing arts."
S042,Northwestern University,Private,University,Illinois,Cook,Evanston,9.7,59000,63000,21000,1:6,0,500,January 1,northwestern.edu,75,"Elite private university with exceptional journalism, law, medicine, and engineering programs."
S043,University of Chicago,Private,University,Illinois,Cook,Chicago,9.8,60000,64000,17000,1:5,0,400,January 2,uchicago.edu,75,"World-renowned university known for rigorous academics, economics, and social sciences."
S044,Illinois Institute of Technology,Private,University,Illinois,Cook,Chicago,8.7,47000,51000,7500,1:12,0,200,August 1,iit.edu,60,"Tech-focused private university with strong engineering, architecture, and design programs."
S045,Jones College Prep,Public,High School,Illinois,Cook,Chicago,9.5,0,0,1600,1:19,28,70,November 15,jonescollege.edu,0,"Selective enrollment high school in Chicago with outstanding academic and extracurricular programs."
S046,University of Washington,Public,University,Washington,King,Seattle,9.3,11000,37000,47000,1:20,0,800,November 15,uw.edu,85,"Top public research university with leading programs in CS, medicine, and environmental science."
S047,Seattle Prep,Private,High School,Washington,King,Seattle,9.3,20000,22000,650,1:11,25,60,January 15,seattleprep.edu,50,"Premier Jesuit college prep school with exceptional academics and service programs."
S048,Overlake School,Private,Elementary,Washington,King,Redmond,9.4,32000,35000,510,1:8,0,40,February 1,overlake.edu,100,"Independent school offering exceptional education from elementary through high school."
S049,University of Michigan,Public,University,Michigan,Washtenaw,Ann Arbor,9.5,15000,50000,47000,1:15,0,1000,February 1,umich.edu,75,"World-class public university with top-ranked programs in engineering, business, and medicine."
S050,Michigan State University,Public,University,Michigan,Ingham,East Lansing,8.8,14000,39000,50000,1:17,0,600,November 1,msu.edu,65,"Major research university with renowned programs in agriculture, education, and communications."
